wallet,iusdc,sicx,usds
hx1bc631c9a2d698d0fd9f02db3df1de4c3989709e,0,0,0
hxd70bdd9d15c37b796221456bb25d6c3b5abba081,0,0,43710000000000000000
hxb3999ff955968f828d118cb1b83882df83724218,0,0,0
hxc05625f8fdd5b5c5155fd6e779546fc082d41933,0,699810000000000000000,0
hx993d46208629dc06dd7e44d3265514a9704dd9e1,0,123200000000000000000,0
hxc1f5c00082302e57d575136018f03f12e469c282,0,0,0
hx4d64c845d98ac21f4cb8e5bb50c7ab8b3b4f7280,0,0,0
hxd0759fdd5af09ffe0b1a0ceb4db70251164fe354,0,2470000000000000000,0
hx218057117c6715c7786e3cb8b6f35a920e73ab58,0,0,0
hx1a5f0ce1d0d49054379a554f644f39a66a979b04,10920000000000,0,0
hxd133069c8966eaae436477bcfb2f8d46d904ab13,0,0,0
hxbf37b9a3c2a51a87944675e9462875def1a29cd5,0,250000000000000000,0
hx9b0dd6559ff294d543662c1c4fdffd9f79955de9,0,0,0
hx57958a746306b39321bed3ac5e28ba802e9b593b,0,0,0
hx91c457d4685ffd777a9f51e7bb94dbe3bc2a3910,0,0,0
hx51552c38d76e85be71495da4f4fddde470dafc8a,30490000000000,0,0
hx21ab8da4331f944d63a71a0bf0877ebf11cdf17b,74580000000000,2250000000000000000,378740000000000000000
hx56f7f043fa63be2b328f3ac5fbe7a774d0ec41c2,0,0,0
hx28ff16852c86ee495657ebcc9d0d9f8956c98c4b,0,0,0
hx3e084c6b8ce51c1802f8714af82c8ce880d389c3,109010000000000,780000000000000000,0
hx66dd8b8fb36199f69d63bc43123dd26cd7c7cc3e,0,179170000000000000000,0
hx5db5690e472ca2a5fe21ed1310619910c7f99a37,0,0,0
hx7ba6f1f83377cc8e8de763fdae0e403fcf456de0,0,0,0
hxbdb0386b9421e421be55f77e2b1c641590a8aa00,0,0,0
hxeeae8a158ec1d7d0745a3d377a9962fbd697cf22,0,0,0
hxe887bb440a0e51be100739176f4d25efd22c668f,0,10390000000000000000,46150000000000000000
hxeefec34cd55a37f4b7f2d493fc87993cb5d1001b,171700000000000,1990000000000000000,8519860000000000000000
hx9b8b7bd0d98a474ab3b9530c2c35a9bf493cf666,0,0,0
hxf4c54bef2f489f42727cf789789811203eb97a26,0,0,16590000000000000000
hx206f3bc046e7911749a86f1d868f0037c5c347d4,0,0,0
hx4508604307765dba670e3d3cef48c05adc826c79,0,33540000000000000000,0
hxcb1db3b6c3675e68399dc44aff5b4c34e2d5bb29,0,0,0
hx5c3aba20629c34f0adc86f17b5882338855be9b5,0,0,0
hxa850f931901bd6e899bf9bc6eea8558490eb7496,0,0,0
hxbe9b054ee91354de71b7dda0097cf68cd8c2c187,0,0,0
hx56db3951ece0b0e5d20cfe7f55d946a69102c81c,0,1200000000000000000,0
hx00f94ff34ab756985052354ba9c55eea33a9c10b,556040000000000,0,0
hxcd741757ef61fb22d05f01ef2016d06e9bec87b3,0,0,4850000000000000000
hx9d34d7ec9aacef262df8b08f89114bea0fd047e3,0,0,0
hx8364c51285969636f2a93f7801a9325c056527b4,0,170000000000000000,0
hx156f781c4509db1b363b05637e9f729b00c7711a,0,0,0
hxf8bf289133c9879d5183fd106bbd07b81af0e3d7,53930000000000,10800000000000000000,0
hx7d566bfd71ed328f3cda6e2bde978f038d144b97,0,0,0
hxbe65b81e65175e46ab69a4d6543628d829d19a0e,0,0,0
hxe702ae443a9864d771dc199cb0865212478d3684,0,1633840000000000000000,0
hxe7ac3cddbc151c6bff08a9e9d37cab9467619636,0,0,0
